
 num     #instances         #bytes  class name
 274:             5            200  java.lang.invoke.BoundMethodHandle$SpeciesData
 275:             5            200  sun.security.ssl.CipherSuite$MacAlg
 276:             6            192  java.lang.invoke.LambdaForm$BasicType
 277:             8            192  java.lang.invoke.MethodHandleImpl$Intrinsic
 278:             8            192  java.net.NetPermission
 279:             4            192  java.nio.HeapByteBuffer
 280:             6            192  java.security.BasicPermissionCollection
 281:             8            192  java.util.jar.Manifest
 282:            12            192  sun.reflect.BootstrapConstructorAccessorImpl
 283:             2            192  sun.security.provider.Sun
 284:            12            192  sun.security.x509.DNSName
 285:            11            176  java.util.LinkedHashSet
 286:             2            176  java.util.jar.JarVerifier
 287:            11            176  sun.security.x509.CertificatePolicyId
 288:             1            168  [[Ljava.math.BigInteger;
 289:             7            168  org.apache.http.message.BasicHeader
 290:             7            168  sun.security.x509.NetscapeCertTypeExtension$MapEntry
 291:            10            160  java.util.Formatter$Flags
 292:             5            160  sun.util.locale.provider.LocaleProviderAdapter$Type
 293:             2            152  [Lcom.alibaba.fastjson.serializer.SerializerFeature;
 294:             3            144  [F
 295:             2            144  [Ljava.math.BigDecimal;
 296:             2            144  com.alibaba.fastjson.util.ASMClassLoader
 297:             9            144  java.util.Collections$UnmodifiableSet
 298:             6            144  sun.misc.PerfCounter
 299:             3            144  sun.misc.URLClassPath
 300:             3            144  sun.nio.cs.StreamEncoder
 301:             6            144  sun.security.util.DisabledAlgorithmConstraints$Constraint$Operator
 302:             6            128  [Ljava.security.CodeSigner;
 303:             2            128  java.io.ExpiringCache$1
 304:             4            128  java.net.InetAddress$InetAddressHolder
 305:             4            128  java.util.Stack
 306:             2            128  sun.nio.cs.ext.DoubleByte$Encoder
 307:             1            120  [Lcom.alibaba.fastjson.parser.Feature;
 308:             3            120  java.lang.invoke.BoundMethodHandle$Species_LL
 309:             3            120  java.util.IdentityHashMap
 310:             5            120  org.apache.http.auth.AuthProtocolState
 311:             3            120  sun.misc.FloatingDecimal$BinaryToASCIIBuffer
 312:             5            120  sun.misc.FloatingDecimal$PreparedASCIIToBinaryBuffer
 313:             5            120  sun.nio.fs.WindowsPathType
 314:             5            120  sun.security.jca.ServiceId
 315:             3            120  sun.security.provider.DSAPublicKeyImpl
 316:             5            120  sun.security.ssl.SupportedGroupsExtension$NamedGroupType
 317:             5            120  sun.security.util.DisabledAlgorithmConstraints
 318:             2            112  [Ljava.lang.invoke.MethodType;
 319:             2            112  [Ljava.security.CryptoPrimitive;
 320:             7            112  java.util.HashMap$KeySet
 321:             2            112  org.apache.http.client.config.RequestConfig
 322:             1             96  [Lsun.security.ssl.CipherSuite$KeyExchange;
 323:             1             96  [[J
 324:             4             96  com.alibaba.fastjson.util.IdentityHashMap
 325:             1             96  com.sun.crypto.provider.SunJCE
 326:             1             96  com.sun.net.ssl.internal.ssl.Provider
 327:             2             96  java.lang.ThreadGroup
 328:             4             96  java.lang.ThreadLocal$ThreadLocalMap
 329:             3             96  java.lang.invoke.BoundMethodHandle$Species_L
 330:             4             96  java.text.Normalizer$Form
 331:             4             96  java.util.concurrent.atomic.AtomicMarkableReference$Pair
 332:             4             96  jdk.net.ExtendedSocketOptions$ExtSocketOption
 333:             1             96  sun.misc.Launcher$AppClassLoader
 334:             3             96  sun.net.spi.DefaultProxySelector$NonProxyInfo
 335:             3             96  sun.reflect.UnsafeStaticObjectFieldAccessorImpl
 336:             1             96  sun.security.ec.SunEC
 337:             1             96  sun.security.jca.ProviderList$1
 338:             1             96  sun.security.rsa.SunRsaSign
 339:             3             96  sun.security.ssl.CipherSuite$HashAlg
 340:             4             96  sun.security.ssl.CipherType
 341:             3             96  sun.util.locale.provider.LocaleServiceProviderPool
 342:             1             88  [Lsun.security.util.ObjectIdentifier;
 343:             1             88  [[Ljava.lang.Byte;
 344:             1             88  sun.misc.Launcher$ExtClassLoader
 345:             2             80  [Lorg.apache.http.HttpRequestInterceptor;
 346:             2             80  java.io.BufferedWriter
 347:             2             80  java.io.ExpiringCache
 348:             2             80  java.lang.invoke.MethodHandleImpl$AsVarargsCollector
 349:             2             80  java.util.Locale$Category
 350:             5             80  javax.security.auth.x500.X500Principal
 351:             1             80  sun.net.www.protocol.jar.URLJarFile
 352:             5             80  sun.security.ssl.SSLCipher$T10BlockReadCipherGenerator
 353:             5             80  sun.security.ssl.SSLCipher$T10BlockWriteCipherGenerator
 354:             5             80  sun.security.util.DisabledAlgorithmConstraints$Constraints
 355:             1             72  [Ljava.lang.invoke.LambdaFormEditor$Transform$Kind;
 356:             3             72  [Ljava.net.InetAddress;
 357:             2             72  [Lsun.security.jca.ProviderConfig;
 358:             1             72  [Lsun.security.ssl.SSLCipher;
 359:             1             72  com.alibaba.fastjson.parser.ParserConfig
 360:             1             72  com.alibaba.fastjson.serializer.ASMSerializer_1_User
 361:             3             72  java.io.OutputStreamWriter
 362:             3             72  java.net.Inet4Address
 363:             3             72  java.net.Proxy$Type
 364:             3             72  java.security.SecurityPermission
 365:             3             72  java.util.Base64$Encoder
 366:             1             72  java.util.ResourceBundle$RBClassLoader
 367:             3             72  java.util.concurrent.ConcurrentHashMap$KeySetView
 368:             1             72  java.util.logging.LogManager$RootLogger
 369:             3             72  java.util.regex.Pattern$BitClass
 370:             3             72  java.util.regex.Pattern$Ctype
 371:             3             72  org.apache.http.HttpVersion
 372:             3             72  org.apache.http.conn.util.DomainType
 373:             1             72  org.apache.http.impl.conn.CPoolEntry
 374:             1             72  org.apache.http.impl.conn.LoggingManagedHttpClientConnection
 375:             3             72  org.apache.http.impl.cookie.PublicSuffixDomainFilter
 376:             3             72  org.apache.http.impl.cookie.RFC6265CookieSpecProvider$CompatibilityLevel
 377:             3             72  sun.misc.FloatingDecimal$ExceptionalBinaryToASCIIBuffer
 378:             3             72  sun.reflect.NativeMethodAccessorImpl
 379:             3             72  sun.security.provider.DSAParameters
 380:             1             72  sun.util.locale.provider.JRELocaleProviderAdapter
 381:             3             72  sun.util.resources.ParallelListResourceBundle$KeySet
 382:             2             64  [Ljava.lang.Thread;
 383:             2             64  java.io.FileOutputStream
 384:             2             64  java.io.PrintStream
 385:             2             64  java.lang.ClassValue$Entry
 386:             2             64  java.lang.StringCoding$StringDecoder
 387:             2             64  java.lang.StringCoding$StringEncoder
 388:             2             64  java.lang.VirtualMachineError
 389:             2             64  java.lang.ref.ReferenceQueue$Null
 390:             1             64  java.text.DateFormatSymbols
 391:             4             64  java.util.LinkedHashMap$LinkedKeySet
 392:             4             64  java.util.concurrent.atomic.AtomicInteger
 393:             4             64  java.util.concurrent.atomic.AtomicMarkableReference
 394:             2             64  org.apache.http.auth.AuthState
 395:             4             64  sun.net.www.protocol.jar.Handler
 396:             4             64  sun.security.ssl.SSLCipher$T11BlockReadCipherGenerator
 397:             4             64  sun.security.ssl.SSLCipher$T11BlockWriteCipherGenerator
 398:             2             64  sun.security.x509.ExtendedKeyUsageExtension
 399:             2             64  sun.security.x509.NetscapeCertTypeExtension
 400:             2             64  sun.util.locale.provider.LocaleResources
 401:             1             56  [Ljava.lang.Runnable;
 402:             1             56  [Lsun.util.logging.PlatformLogger$Level;
 403:             1             56  [[I
 404:             1             56  java.net.SocketPermission
 405:             1             56  java.util.logging.ConsoleHandler
 406:             1             56  java.util.logging.LogManager
 407:             1             56  org.apache.commons.logging.impl.WeakHashtable
 408:             1             56  org.apache.http.impl.execchain.MainClientExec
 409:             1             56  org.apache.http.impl.io.SessionInputBufferImpl
 410:             1             56  sun.nio.cs.ext.DoubleByte$Decoder
 411:             1             48  [Ljava.lang.invoke.MethodHandleImpl$Intrinsic;
 412:             2             48  [Ljava.security.cert.X509Certificate;
 413:             1             48  [Ljava.util.concurrent.TimeUnit;
 414:             2             48  [Lorg.apache.http.client.utils.URIUtils$UriFlag;
 415:             1             48  [Lsun.security.x509.NetscapeCertTypeExtension$MapEntry;
 416:             1             48  com.alibaba.fastjson.serializer.SerializeConfig
 417:             2             48  java.io.BufferedOutputStream
 418:             1             48  java.io.BufferedReader
 419:             2             48  java.io.File$PathStatus
 420:             2             48  java.lang.Class$AnnotationData
 421:             1             48  java.lang.invoke.BoundMethodHandle$Species_L4
 422:             2             48  java.lang.invoke.MethodHandles$Lookup
 423:             2             48  java.lang.reflect.ReflectPermission
 424:             2             48  java.net.InetAddress$Cache
 425:             2             48  java.net.InetAddress$Cache$Type
 426:             1             48  java.net.SocketInputStream
 427:             1             48  java.nio.HeapCharBuffer
 428:             2             48  java.nio.charset.CoderResult
 429:             3             48  java.nio.charset.CodingErrorAction
 430:             2             48  java.security.CodeSigner
 431:             3             48  java.util.Base64$Decoder
 432:             1             48  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 433:             2             48  java.util.logging.Logger$LoggerBundle
 434:             2             48  java.util.regex.Pattern$1
 435:             2             48  java.util.regex.Pattern$5
 436:             3             48  java.util.regex.Pattern$Dot
 437:             2             48  javax.crypto.CryptoPermissions
 438:             1             48  org.apache.commons.logging.impl.LogFactoryImpl
 439:             1             48  org.apache.http.client.methods.HttpRequestWrapper$HttpEntityEnclosingRequestWrapper
 440:             2             48  org.apache.http.client.utils.URIUtils$UriFlag
 441:             2             48  org.apache.http.conn.routing.RouteInfo$LayerType
 442:             2             48  org.apache.http.conn.routing.RouteInfo$TunnelType
 443:             1             48  org.apache.http.impl.conn.DefaultHttpResponseParser
 444:             3             48  org.apache.http.impl.cookie.BasicCommentHandler
 445:             3             48  org.apache.http.impl.cookie.BasicPathHandler
 446:             3             48  org.apache.http.impl.cookie.BasicSecureHandler
 447:             2             48  org.apache.http.impl.cookie.DefaultCookieSpecProvider$CompatibilityLevel
 448:             2             48  org.apache.http.impl.cookie.RFC6265CookieSpecProvider
 449:             1             48  org.apache.http.impl.execchain.ConnectionHolder
 450:             2             48  org.apache.http.impl.io.HttpTransportMetricsImpl
 451:             2             48  org.apache.http.protocol.ImmutableHttpProcessor
 452:             2             48  org.apache.http.util.ByteArrayBuffer
 453:             2             48  org.apache.http.util.CharArrayBuffer
 454:             2             48  sun.misc.NativeSignalHandler
 455:             2             48  sun.misc.Signal
 456:             1             48  sun.nio.cs.StreamDecoder
 457:             1             48  sun.nio.cs.US_ASCII$Decoder
 458:             3             48  sun.reflect.DelegatingMethodAccessorImpl
 459:             2             48  sun.security.jca.ProviderList
 460:             2             48  sun.security.jca.ProviderList$3
 461:             2             48  sun.security.provider.certpath.X509CertPath
 462:             2             48  sun.security.rsa.RSAUtil$KeyType
 463:             2             48  sun.security.ssl.SSLAlgorithmConstraints
 464:             3             48  sun.security.ssl.SSLCipher$StreamReadCipherGenerator
 465:             3             48  sun.security.ssl.SSLCipher$StreamWriteCipherGenerator
 466:             3             48  sun.security.util.AlgorithmDecomposer
 467:             2             48  sun.security.util.DisabledAlgorithmConstraints$UsageConstraint
 468:             2             48  sun.security.util.DisabledAlgorithmConstraints$jdkCAConstraint
 469:             3             48  sun.text.normalizer.NormalizerBase$QuickCheckResult
 470:             1             48  sun.text.resources.FormatData
 471:             1             48  sun.text.resources.zh.FormatData_zh
 472:             1             48  sun.text.resources.zh.FormatData_zh_CN
 473:             1             48  sun.util.resources.CalendarData
 474:             1             48  sun.util.resources.CurrencyNames
 475:             1             48  sun.util.resources.TimeZoneNames
 476:             1             48  sun.util.resources.en.TimeZoneNames_en
 477:             1             48  sun.util.resources.zh.CalendarData_zh
 478:             1             48  sun.util.resources.zh.CurrencyNames_zh_CN
 479:             2             40  [Lorg.apache.http.Header;
 480:             2             40  [Lorg.apache.http.HttpResponseInterceptor;
 481:             1             40  [Lorg.apache.http.auth.AuthProtocolState;
 482:             1             40  [Lsun.nio.fs.WindowsPathType;
 483:             1             40  [Lsun.security.jca.ServiceId;
